REPORT_ID,Total Cas,Total Fats,Total SI,Total MI,CSEF Severity,Licence Type,Number Occupants,Drugs Involved,Area Speed,Crash Type,Position Type,DayNight,DUI Involved,Weather Cond
2017-1-8/11/2018,1,0,0,1,2: MI,Full,1,,60,Rear End,T-Junction,Daylight,,Not Raining
2017-2-8/11/2018,0,0,0,0,1: PDO,Unknown,1,,60,Side Swipe,Cross Road,Daylight,,Not Raining
2017-3-8/11/2018,0,0,0,0,1: PDO,Full,2,,50,Rear End,Cross Road,Daylight,,Not Raining
2017-4-8/11/2018,0,0,0,0,1: PDO,Unknown,4,,60,Hit Fixed Object,Cross Road,Night,Y,Not Raining
2017-5-8/11/2018,1,0,0,1,2: MI,Full,1,,60,Right Turn,T-Junction,Daylight,,Not Raining
2017-6-8/11/2018,0,0,0,0,1: PDO,Full,1,,50,Hit Fixed Object,Not Divided,Night,Y,Not Raining
2017-7-8/11/2018,0,0,0,0,1: PDO,Full,1,,50,Hit Fixed Object,Not Divided,Night,,Not Raining
2017-8-8/11/2018,0,0,0,0,1: PDO,,,,50,Hit Parked Vehicle,Not Divided,Daylight,,Not Raining
2017-9-8/11/2018,1,0,0,1,2: MI,Full,2,,60,Right Angle,Divided Road,Daylight,,Not Raining
2017-10-8/11/2018,7,0,0,7,2: MI,Full,1,Y,60,Head On,Freeway,Daylight,,Not Raining
2017-11-8/11/2018,1,0,0,1,2: MI,Full,1,,110,Rear End,Not Divided,Daylight,,Not Raining
2017-12-8/11/2018,1,0,0,1,2: MI,,,,60,Hit Parked Vehicle,Divided Road,Daylight,,Not Raining
2017-13-8/11/2018,0,0,0,0,1: PDO,,,,60,Hit Pedestrian,Divided Road,Night,,Not Raining
2017-14-8/11/2018,0,0,0,0,1: PDO,Full,1,,60,Right Angle,Divided Road,Daylight,,Not Raining
2017-15-8/11/2018,1,0,0,1,2: MI,,,Y,70,Hit Fixed Object,Cross Road,Night,,Not Raining
2017-16-8/11/2018,1,0,1,0,3: SI,,0,,60,Right Angle,T-Junction,Night,,Not Raining
2017-17-8/11/2018,0,0,0,0,1: PDO,Provisional 1 ,1,Y,50,Hit Fixed Object,Not Divided,Night,Y,Not Raining
2017-18-8/11/2018,0,0,0,0,1: PDO,Full,1,,60,Hit Fixed Object,Not Divided,Night,,Not Raining
2017-19-8/11/2018,1,0,0,1,2: MI,Full,1,,60,Hit Fixed Object,Not Divided,Daylight,,Not Raining
2017-20-8/11/2018,0,0,0,0,1: PDO,Provisional 2,1,,60,Hit Fixed Object,Cross Road,Daylight,,Not Raining
2017-21-8/11/2018,1,0,0,1,2: MI,Full,6,Y,80,Roll Over,Not Divided,Night,Y,Not Raining
2017-22-8/11/2018,0,0,0,0,1: PDO,Full,4,,80,Hit Fixed Object,T-Junction,Night,,Not Raining
2017-23-8/11/2018,0,0,0,0,1: PDO,Full,2,,60,Hit Fixed Object,Not Divided,Daylight,,Not Raining
2017-24-8/11/2018,1,0,0,1,2: MI,,0,,110,Roll Over,Divided Road,Daylight,,Not Raining
2017-25-8/11/2018,0,0,0,0,1: PDO,,1,,50,Rear End,Not Divided,Daylight,,Not Raining
2017-26-8/11/2018,1,0,0,1,2: MI,Full,1,,110,Rear End,Freeway,Daylight,,Not Raining
2017-27-8/11/2018,0,0,0,0,1: PDO,,,,110,Hit Fixed Object,Not Divided,Daylight,,Not Raining
2017-28-8/11/2018,0,0,0,0,1: PDO,Unknown,1,,60,Right Angle,Cross Road,Daylight,,Not Raining
2017-29-8/11/2018,0,0,0,0,1: PDO,Unknown,1,,60,Rear End,Divided Road,Daylight,,Not Raining
2017-30-8/11/2018,0,0,0,0,1: PDO,Full,1,,50,Hit Fixed Object,Not Divided,Daylight,,Not Raining
2017-31-8/11/2018,0,0,0,0,1: PDO,,,,80,Side Swipe,Not Divided,Daylight,,Not Raining
2017-32-8/11/2018,1,0,0,1,2: MI,Full,2,,60,Side Swipe,T-Junction,Daylight,,Not Raining
2017-33-8/11/2018,1,0,0,1,2: MI,Full,1,,50,Rear End,T-Junction,Daylight,,Not Raining
2017-34-8/11/2018,0,0,0,0,1: PDO,Full,1,,60,Right Angle,T-Junction,Daylight,,Not Raining
2017-35-8/11/2018,1,0,0,1,2: MI,,,,60,Right Angle,Cross Road,Daylight,,Not Raining
2017-36-8/11/2018,0,0,0,0,1: PDO,Unknown,1,,50,Hit Parked Vehicle,Not Divided,Night,,Not Raining
